fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-26 01:38:27,Sin sesión,,,,13,AGUA-02,,0.0,17.5,12.39,0.0,0.0,8.0
2025-10-26 02:39:20,Sin sesión,,,,13,AGUA-02,,0.0,16.25,12.42,0.0,0.0,8.0
2025-10-26 03:40:11,Sin sesión,,,,13,AGUA-02,,0.0,15.5,12.51,0.0,0.0,8.0
2025-10-26 04:41:01,Sin sesión,,,,13,AGUA-02,,0.0,14.5,11.8,0.0,0.0,8.0
2025-10-26 05:41:56,Sin sesión,,,,13,AGUA-02,,0.0,13.75,12.46,0.0,0.0,8.0
2025-10-26 06:42:48,Sin sesión,,,,13,AGUA-02,,0.0,13.5,12.38,0.0,0.0,9.0
2025-10-26 07:43:45,Sin sesión,,,,13,AGUA-02,,0.0,14.0,12.37,0.0,0.0,10.0
2025-10-26 08:44:56,Sin sesión,,,,13,AGUA-02,,0.0,18.25,12.56,0.0,0.0,10.0
2025-10-26 09:46:05,Sin sesión,,,,13,AGUA-02,,0.0,21.25,12.25,0.0,0.0,7.0
2025-10-26 10:47:17,Sin sesión,,,,13,AGUA-02,,0.0,24.25,12.24,0.0,0.0,8.0
2025-10-26 11:48:26,Sin sesión,,,,13,AGUA-02,,0.0,26.5,12.46,0.0,0.0,8.0
2025-10-26 12:49:32,Sin sesión,,,,13,AGUA-02,,0.0,29.75,12.5,0.0,0.0,9.0
2025-10-26 13:50:52,Sin sesión,,,,13,AGUA-02,,0.0,33.75,12.35,0.0,0.0,7.0
2025-10-26 14:51:57,Sin sesión,,,,13,AGUA-02,,0.0,36.5,12.34,0.0,0.0,7.0
2025-10-26 15:52:56,Sin sesión,,,,13,AGUA-02,,0.0,36.5,12.27,0.0,0.0,8.0
2025-10-26 16:54:48,Sin sesión,,,,13,AGUA-02,,0.0,39.0,12.45,0.0,0.0,8.0
2025-10-26 17:56:01,Sin sesión,,,,13,AGUA-02,,0.0,38.25,12.37,0.0,0.0,7.0
2025-10-26 18:56:47,Sin sesión,,,,13,AGUA-02,,0.0,36.25,12.44,0.0,0.0,6.0
2025-10-26 19:57:27,Sin sesión,,,,13,AGUA-02,,0.0,30.75,12.31,0.0,0.0,8.0
2025-10-26 20:58:07,Sin sesión,,,,13,AGUA-02,,0.0,28.0,12.32,0.0,0.0,9.0
2025-10-26 21:58:53,Sin sesión,,,,13,AGUA-02,,0.0,25.5,12.37,0.0,0.0,8.0
2025-10-26 22:59:40,Sin sesión,,,,13,AGUA-02,,0.0,23.5,12.25,0.0,0.0,8.0
2025-10-27 00:00:29,Sin sesión,,,,13,AGUA-02,,0.0,22.25,12.58,0.0,0.0,8.0
2025-10-27 01:01:23,Sin sesión,,,,13,AGUA-02,,0.0,21.25,12.3,0.0,0.0,8.0
2025-10-27 02:02:15,Sin sesión,,,,13,AGUA-02,,0.0,20.5,12.33,0.0,0.0,8.0
2025-10-27 03:03:12,Sin sesión,,,,13,AGUA-02,,0.0,20.0,12.24,0.0,0.0,8.0
2025-10-27 04:04:07,Sin sesión,,,,13,AGUA-02,,0.0,19.5,12.53,0.0,0.0,8.0
2025-10-27 05:05:03,Sin sesión,,,,13,AGUA-02,,0.0,19.0,12.41,0.0,0.0,8.0
2025-10-27 06:05:57,Sin sesión,,,,13,AGUA-02,,0.0,18.5,12.26,0.0,0.0,8.0
2025-10-27 07:06:54,Sin sesión,,,,13,AGUA-02,,0.0,18.25,12.35,0.0,0.0,8.0
